Outil	Cluster	Gènes	État AA
glimmer	Cluster 39	ABGB01000018:51087-53930; NW_003102066.1:51087-53930(+)	OK
glimmer	Cluster 40	ABGB01000037:c(5116-7953); NW_003102085.1:5116-7953(-)	OK
glimmer	Cluster 41	ABGB01000002:c(56021-58843); NW_001849446.1:73925-76693(-)	Différent (Différence au début: 58843 vs 76693)
glimmer	Cluster 42	ABGB01000014:89463-92270; NW_003102062.1:89463-92270(+)	OK
glimmer	Cluster 43	ABGB01000028:c(6407-9184); NW_003102076.1:6407-9211(-)	Différent (Différence au début: 9184 vs 9211)
glimmer	Cluster 44	ABGB01000014:c(44337-47105); NW_003102062.1:44337-47105(-)	OK
glimmer	Cluster 45	ABGB01000014:c(113633-116398); NW_003102062.1:113633-116398(-)	OK
glimmer	Cluster 46	ABGB01000015:44431-47184; NW_003102063.1:44431-47184(+)	OK
glimmer	Cluster 47	ABGB01000014:78150-80897; NW_003102062.1:78150-80897(+)	OK
glimmer	Cluster 48	ABGB01000004:c(53498-56236); NW_001849444.1:25312-28071(+)	Différent (Différence au début: 53498 vs 25312, Différence à la fin: 56236 vs 28071)
glimmer	Cluster 49	ABGB01000025:c(2339-5026); NW_003102073.1:2339-5026(-)	OK
glimmer	Cluster 50	ABGB01000016:68868-71552; NW_003102064.1:68868-71552(+)	OK
glimmer	Cluster 51	ABGB01000015:83284-85941; NW_003102063.1:83284-85941(+)	OK
glimmer	Cluster 52	ABGB01000001:96836-99463; NW_001849444.1:104634-107261(-)	OK
glimmer	Cluster 53	ABGB01000016:81443-84067; NW_003102064.1:81443-84067(+)	OK
glimmer	Cluster 54	ABGB01000015:59131-61749; NW_003102063.1:59131-61749(+)	OK
glimmer	Cluster 55	ABGB01000003:c(3019-5622); NW_001849445.1:46445-49048(-)	OK
glimmer	Cluster 56	ABGB01000003:c(60909-63491); NW_001849445.1:104335-106917(-)	OK
glimmer	Cluster 57	ABGB01000015:64027-66609; NW_003102063.1:63958-66609(+)	Différent (Différence au début: 64027 vs 63958)
glimmer	Cluster 58	ABGB01000017:69324-71906; NW_003102065.1:69324-71906(+)	OK
glimmer	Cluster 59	ABGB01000003:c(26846-29407); NW_001849445.1:70272-72833(-); NW_003102460.1:114-899(+)	Différent (Différence au début: 29407 vs 72833) (Différence au début: 29407 vs 72833, Différence au début: 72833 vs 899)
glimmer	Cluster 60	ABGB01000002:c(95062-97620); NW_001849446.1:112966-115524(-)	OK
glimmer	Cluster 61	ABGB01000014:66979-69531; NW_003102062.1:66979-69531(+)	OK
glimmer	Cluster 62	ABGB01000036:13612-16131; NW_003102084.1:13612-16131(+)	OK
glimmer	Cluster 63	ABGB01000002:c(52620-55127); NW_001849446.1:70524-73031(-)	OK
glimmer	Cluster 64	ABGB01000003:441-2945; NW_001849445.1:43867-46371(+)	OK
glimmer	Cluster 65	ABGB01000005:13918-16419; NW_001849445.1:13918-16419(+)	OK
glimmer	Cluster 66	ABGB01000004:63474-65945; NW_001849444.1:15624-18095(-)	OK
glimmer	Cluster 67	ABGB01000020:41478-43949; NW_003102068.1:41478-43949(+)	OK
glimmer	Cluster 68	ABGB01000031:21433-23889; NW_003102079.1:21433-23889(+)	OK
glimmer	Cluster 69	ABGB01000018:9571-12024; NW_003102066.1:9571-12024(+)	OK
glimmer	Cluster 70	ABGB01000001:c(9189-11594); NW_001849444.1:192503-194908(+)	OK
glimmer	Cluster 71	ABGB01000016:51768-54173; NW_003102064.1:51768-54173(+)	OK
glimmer	Cluster 72	ABGB01000017:c(21740-24121); NW_003102065.1:21740-24121(-)	OK
glimmer	Cluster 73	ABGB01000021:c(27619-30000); NW_003102069.1:27619-30000(-)	OK
glimmer	Cluster 74	ABGB01000017:25903-28275; NW_003102065.1:25903-28275(+)	OK
glimmer	Cluster 75	ABGB01000004:41441-43810; NW_001849444.1:37759-40128(-)	OK
glimmer	Cluster 76	ABGB01000014:c(58118-60484); NW_003102062.1:58118-60484(-)	OK
glimmer	Cluster 77	ABGB01000017:29844-32204; NW_003102065.1:29844-32204(+)	OK
glimmer	Cluster 78	ABGB01000025:23444-25786; NW_003102073.1:23417-25786(+)	Différent (Différence au début: 23444 vs 23417)
glimmer	Cluster 79	ABGB01000035:4454-6793; NW_003102083.1:4454-6793(+)	OK
glimmer	Cluster 80	ABGB01000014:81045-83381; NW_003102062.1:81381-83381(+)	Différent (Différence au début: 81045 vs 81381)
glimmer	Cluster 81	ABGB01000016:c(60924-63233); NW_003102064.1:60924-63233(-)	OK
glimmer	Cluster 82	ABGB01000017:75527-77827; NW_003102065.1:75527-77827(+)	OK
glimmer	Cluster 83	ABGB01000030:c(503-2767); NW_003102078.1:503-2767(-)	OK
glimmer	Cluster 84	ABGB01000021:c(33785-36034); NW_003102069.1:33785-36034(-)	OK
glimmer	Cluster 85	ABGB01000035:c(16491-18740); NW_003102083.1:16491-18740(-)	OK
glimmer	Cluster 86	ABGB01000017:11774-14020; NW_003102065.1:11774-14020(+)	OK
glimmer	Cluster 87	ABGB01000051:c(1886-4120); NW_003102099.1:1886-4120(-)	OK
glimmer	Cluster 88	ABGB01000031:11038-13224; NW_003102079.1:11038-13224(+)	OK
glimmer	Cluster 89	ABGB01000030:9423-11606; NW_003102078.1:9423-11606(+)	OK
glimmer	Cluster 90	ABGB01000001:90313-92481; NW_001849444.1:111616-113784(-)	OK
glimmer	Cluster 91	ABGB01000027:20600-22768; NW_003102075.1:20600-22768(+)	OK
glimmer	Cluster 92	ABGB01000004:51332-53488; NW_001849444.1:28081-30237(-)	OK
glimmer	Cluster 93	ABGB01000028:c(16065-18221); NW_003102076.1:16065-18221(-)	OK
glimmer	Cluster 94	ABGB01000003:c(40893-43046); NW_001849445.1:84319-86472(-)	OK
glimmer	Cluster 95	ABGB01000005:c(36093-38237); NW_001849445.1:36093-38237(-)	OK
glimmer	Cluster 96	ABGB01000015:c(99129-101270); NW_003102063.1:99129-101270(-)	OK
glimmer	Cluster 97	ABGB01000018:c(34958-37099); NW_003102066.1:34958-37099(-)	OK
glimmer	Cluster 98	ABGB01000014:118589-120721; NW_003102062.1:118589-120721(+)	OK
glimmer	Cluster 99	ABGB01000017:c(62205-64337); NW_003102065.1:62205-64337(-)	OK
glimmer	Cluster 100	ABGB01000018:c(22274-24403); NW_003102066.1:22274-24403(-)	OK
glimmer	Cluster 101	ABGB01000014:c(15869-17980); NW_003102062.1:15869-17980(-)	OK
glimmer	Cluster 102	ABGB01000004:c(24828-26933); NW_001849444.1:54636-56741(+)	OK
glimmer	Cluster 103	ABGB01000026:2490-4592; NW_003102074.1:2490-4592(+)	OK
glimmer	Cluster 104	ABGB01000022:5331-7430; NW_003102070.1:5331-7430(+)	OK
glimmer	Cluster 105	ABGB01000026:c(24590-26689); NW_003102074.1:24590-26704(-)	Différent (Différence au début: 26689 vs 26704)
glimmer	Cluster 106	ABGB01000018:62189-64282; NW_003102066.1:62189-64282(+)	OK
glimmer	Cluster 107	ABGB01000005:c(39388-41466); NW_001849445.1:39388-41466(-)	OK
glimmer	Cluster 108	ABGB01000032:13094-15172; NW_003102080.1:13094-15172(+)	OK
glimmer	Cluster 109	ABGB01000003:c(44565-46640); NW_001849445.1:87991-90066(-)	OK
glimmer	Cluster 110	ABGB01000004:16952-19024; NW_001849444.1:62545-64617(-)	OK
glimmer	Cluster 111	ABGB01000019:28996-31068; NW_003102067.1:28996-31068(+)	OK
glimmer	Cluster 112	ABGB01000004:c(29972-32041); NW_001849444.1:49492-51597(+)	Différent (Différence au début: 29972 vs 49492, Différence à la fin: 32041 vs 51597)
glimmer	Cluster 113	ABGB01000014:93128-95197; NW_003102062.1:93128-95197(+)	OK
glimmer	Cluster 114	ABGB01000014:c(95900-97969); NW_003102062.1:95900-97969(-)	OK
glimmer	Cluster 115	ABGB01000021:c(10471-12525); NW_003102069.1:10471-12525(-)	OK
glimmer	Cluster 116	ABGB01000052:c(4428-6482); NW_003102100.1:4428-6446(-)	Différent (Différence au début: 6482 vs 6446)
glimmer	Cluster 117	ABGB01000003:35144-37189; NW_001849445.1:78570-80615(+)	OK
glimmer	Cluster 118	ABGB01000004:26961-29003; NW_001849444.1:52566-54608(-)	OK
glimmer	Cluster 119	ABGB01000023:10973-13009; NW_003102071.1:10973-13009(+)	OK
glimmer	Cluster 120	ABGB01000038:11713-13746; NW_003102086.1:11818-13746(+)	Différent (Différence au début: 11713 vs 11818)
glimmer	Cluster 121	ABGB01000015:c(33634-35664); NW_003102063.1:33634-35664(-)	OK
glimmer	Cluster 122	ABGB01000016:98579-100606; NW_003102064.1:98579-100606(+)	OK
glimmer	Cluster 123	ABGB01000019:c(39718-41745); NW_003102067.1:39718-41745(-)	OK
glimmer	Cluster 124	ABGB01000002:5436-7451; NW_001849446.1:23340-25355(+)	OK
glimmer	Cluster 125	ABGB01000002:c(7494-9506); NW_001849446.1:25398-27473(-)	Différent (Différence au début: 9506 vs 27473)
glimmer	Cluster 126	ABGB01000001:3647-5641; NW_001849444.1:198456-200450(-)	OK
glimmer	Cluster 127	ABGB01000016:c(91707-93695); NW_003102064.1:91707-93695(-)	OK
glimmer	Cluster 128	ABGB01000014:42347-44320; NW_003102062.1:42347-44320(+)	OK
glimmer	Cluster 129	ABGB01000028:c(18262-20235); NW_003102076.1:18262-20235(-)	OK
glimmer	Cluster 130	ABGB01000017:c(15776-17740); NW_003102065.1:15776-17740(-)	OK
glimmer	Cluster 131	ABGB01000022:29412-31352; NW_003102070.1:29412-31352(+)	OK
glimmer	Cluster 132	ABGB01000019:c(36893-38830); NW_003102067.1:36893-38830(-)	OK
glimmer	Cluster 133	ABGB01000015:36761-38695; NW_003102063.1:36761-38695(+)	OK
glimmer	Cluster 134	ABGB01000037:9978-11909; NW_003102085.1:9924-11909(+)	Différent (Différence au début: 9978 vs 9924)
glimmer	Cluster 135	ABGB01000053:c(2603-4531); NW_003102101.1:2603-4549(-)	Différent (Différence au début: 4531 vs 4549)
glimmer	Cluster 136	ABGB01000002:c(23756-25678); NW_001849446.1:41660-43582(-)	OK
glimmer	Cluster 137	ABGB01000027:15588-17501; NW_003102075.1:15588-17501(+)	OK
glimmer	Cluster 138	ABGB01000020:c(24109-26016); NW_003102068.1:24109-26016(-)	OK
glimmer	Cluster 139	ABGB01000017:77879-79783; NW_003102065.1:77879-79783(+)	OK
glimmer	Cluster 140	ABGB01000001:30800-32701; NW_001849444.1:171396-173297(-)	OK
glimmer	Cluster 141	ABGB01000003:c(66245-68140); NW_001849445.1:109671-111614(-)	Différent (Différence au début: 68140 vs 111614)
glimmer	Cluster 142	ABGB01000031:c(14204-16096); NW_003102079.1:14204-16096(-)	OK
glimmer	Cluster 143	ABGB01000015:13192-15081; NW_003102063.1:13192-15081(+)	OK
glimmer	Cluster 144	ABGB01000001:c(1628-3514); NW_001849444.1:200583-202469(+)	OK
glimmer	Cluster 145	ABGB01000036:17878-19758; NW_003102084.1:17878-19758(+)	OK
glimmer	Cluster 146	ABGB01000002:40151-42028; NW_001849446.1:58055-59932(+)	OK
glimmer	Cluster 147	ABGB01000003:c(63837-65711); NW_001849445.1:107263-109137(-)	OK
glimmer	Cluster 148	ABGB01000001:19395-21257; NW_001849444.1:182840-184702(-)	OK
glimmer	Cluster 149	ABGB01000016:c(66905-68764); NW_003102064.1:66905-68764(-)	OK
glimmer	Cluster 150	ABGB01000002:28023-29876; NW_001849446.1:45927-47780(+)	OK
glimmer	Cluster 151	ABGB01000015:108184-110031; NW_003102063.1:108184-110031(+)	OK
glimmer	Cluster 152	ABGB01000030:c(23535-25373); NW_003102078.1:23535-25373(-)	OK
glimmer	Cluster 153	ABGB01000015:26014-27846; NW_003102063.1:26014-27846(+)	OK
glimmer	Cluster 154	ABGB01000004:3831-5660; NW_001849444.1:75909-77738(-)	OK
glimmer	Cluster 155	ABGB01000015:30435-32255; NW_003102063.1:30435-32255(+)	OK
glimmer	Cluster 156	ABGB01000028:c(22338-24149); NW_003102076.1:22338-24149(-)	OK
glimmer	Cluster 157	ABGB01000022:33009-34817; NW_003102070.1:33009-34817(+)	OK
glimmer	Cluster 158	ABGB01000039:4693-6495; NW_003102087.1:4693-6495(+)	OK
glimmer	Cluster 159	ABGB01000001:c(80606-82402); NW_001849444.1:121695-123491(+)	OK
glimmer	Cluster 160	ABGB01000001:c(107955-109751); NW_001849444.1:94346-96142(+)	OK
glimmer	Cluster 161	ABGB01000015:89991-91778; NW_003102063.1:89991-91778(+)	OK
glimmer	Cluster 162	ABGB01000030:4689-6476; NW_003102078.1:4689-6476(+)	OK
glimmer	Cluster 163	ABGB01000019:c(22437-24215); NW_003102067.1:22437-24215(-)	OK
glimmer	Cluster 164	ABGB01000017:c(40087-41862); NW_003102065.1:40087-41862(-)	OK
glimmer	Cluster 165	ABGB01000016:c(8696-10468); NW_003102064.1:8696-10468(-)	OK
glimmer	Cluster 166	ABGB01000002:42282-44051; NW_001849446.1:60186-61955(+)	OK
glimmer	Cluster 167	ABGB01000034:c(2133-3890); NW_003102082.1:2133-3890(-)	OK
glimmer	Cluster 168	ABGB01000035:10452-12200; NW_003102083.1:10452-12200(+)	OK
glimmer	Cluster 169	ABGB01000001:52944-54683; NW_001849444.1:149414-151057(-)	Différent (Différence au début: 54683 vs 151057)
glimmer	Cluster 170	ABGB01000004:c(38405-40144); NW_001849444.1:41425-43164(+)	OK
glimmer	Cluster 171	ABGB01000015:c(16599-18338); NW_003102063.1:16599-18338(-)	OK
glimmer	Cluster 172	ABGB01000018:c(73734-75470); NW_003102066.1:73734-75470(-)	OK
glimmer	Cluster 173	ABGB01000033:16037-17773; NW_003102081.1:16037-17773(+)	OK
glimmer	Cluster 174	ABGB01000039:c(2867-4603); NW_003102087.1:2867-4603(-)	OK
glimmer	Cluster 175	ABGB01000018:71947-73674; NW_003102066.1:71947-73674(+)	OK
glimmer	Cluster 176	ABGB01000002:c(2034-3758); NW_001849446.1:19938-21662(-)	OK
glimmer	Cluster 177	ABGB01000028:c(12595-14319); NW_003102076.1:12595-14319(-)	OK
glimmer	Cluster 178	ABGB01000017:c(9739-11460); NW_003102065.1:9739-11598(-)	Différent (Différence au début: 11460 vs 11598)
glimmer	Cluster 179	ABGB01000028:c(10702-12420); NW_003102076.1:10702-12420(-)	OK
glimmer	Cluster 180	ABGB01000001:45144-46859; NW_001849444.1:157238-158953(-)	OK
glimmer	Cluster 181	ABGB01000019:c(9701-11413); NW_003102620.1:3-413(+); NW_003102067.1:9701-11413(-)	OK
glimmer	Cluster 182	ABGB01000019:c(43209-44921); NW_003102067.1:43209-44921(-)	OK
glimmer	Cluster 183	ABGB01000023:c(28634-30343); NW_003102071.1:28634-30343(-)	OK
glimmer	Cluster 184	ABGB01000021:c(22315-24021); NW_003102069.1:22315-24021(-)	OK
glimmer	Cluster 185	ABGB01000002:93351-95054; NW_001849446.1:111255-112958(+)	OK
glimmer	Cluster 186	ABGB01000028:1772-3475; NW_003102076.1:1772-3475(+)	OK
glimmer	Cluster 187	ABGB01000002:22048-23748; NW_001849446.1:39952-41652(+)	OK
glimmer	Cluster 188	ABGB01000014:111910-113607; NW_003102062.1:111910-113607(+)	OK
glimmer	Cluster 189	ABGB01000016:c(3222-4916); NW_003102064.1:3222-4916(-)	OK
glimmer	Cluster 190	ABGB01000034:15068-16762; NW_003102082.1:15068-16762(+)	OK
glimmer	Cluster 191	ABGB01000055:1183-2877; NW_003102103.1:1183-2877(+)	OK
glimmer	Cluster 192	ABGB01000016:103105-104793; NW_003102064.1:103105-104793(+)	OK
glimmer	Cluster 193	ABGB01000023:15299-16987; NW_003102071.1:15266-16987(+)	Différent (Différence au début: 15299 vs 15266)
glimmer	Cluster 194	ABGB01000004:c(77411-79093); NW_001849444.1:2476-4158(+)	OK
glimmer	Cluster 195	ABGB01000029:1765-3447; NW_003102077.1:1765-3447(+)	OK
glimmer	Cluster 196	ABGB01000020:c(18953-20632); NW_003102068.1:18953-20632(-)	OK
glimmer	Cluster 197	ABGB01000023:c(17008-18687); NW_003102071.1:17008-18687(-)	OK
glimmer	Cluster 198	ABGB01000015:19387-21060; NW_003102063.1:19387-21060(+)	OK
glimmer	Cluster 199	ABGB01000032:c(17548-19218); NW_003102080.1:17548-19293(-)	Différent (Différence au début: 19218 vs 19293)
glimmer	Cluster 200	ABGB01000033:c(9632-11302); NW_003102081.1:9632-11302(-)	OK
glimmer	Cluster 201	ABGB01000034:8115-9782; NW_003102082.1:8115-9782(+)	OK
glimmer	Cluster 202	ABGB01000029:c(10418-12076); NW_003102077.1:10418-12076(-)	OK
glimmer	Cluster 203	ABGB01000031:c(1799-3451); NW_003102079.1:1799-3451(-)	OK
glimmer	Cluster 204	ABGB01000004:c(46758-48404); NW_001849444.1:33165-34811(+)	OK
glimmer	Cluster 205	ABGB01000002:14067-15707; NW_001849446.1:31971-33611(+)	OK
glimmer	Cluster 206	ABGB01000002:c(72049-73686); NW_001849446.1:89953-91590(-)	OK
glimmer	Cluster 207	ABGB01000015:c(93187-94824); NW_003102063.1:93187-94824(-)	OK
glimmer	Cluster 208	ABGB01000002:c(81811-83445); NW_001849446.1:99715-101382(-)	Différent (Différence au début: 83445 vs 101382)
glimmer	Cluster 209	ABGB01000002:45906-47534; NW_001849446.1:63810-65438(+)	OK
glimmer	Cluster 210	ABGB01000029:7561-9183; NW_003102077.1:7561-9183(+)	OK
glimmer	Cluster 211	ABGB01000024:c(29562-31175); NW_003102072.1:29562-31175(-)	OK
glimmer	Cluster 212	ABGB01000042:c(6538-8148); NW_003102090.1:6538-8148(-)	OK
glimmer	Cluster 213	ABGB01000017:2430-4037; NW_003102065.1:2430-4037(+)	OK
glimmer	Cluster 214	ABGB01000001:11704-13305; NW_001849444.1:190792-192393(-)	OK
glimmer	Cluster 215	ABGB01000002:74355-75950; NW_001849446.1:92259-93854(+)	OK
glimmer	Cluster 216	ABGB01000003:46842-48437; NW_001849445.1:90268-91863(+)	OK
glimmer	Cluster 217	ABGB01000032:c(10285-11874); NW_003102080.1:10285-11874(-)	OK
glimmer	Cluster 218	ABGB01000016:24197-25783; NW_003102064.1:24197-25783(+)	OK
glimmer	Cluster 219	ABGB01000017:c(38471-40057); NW_003102229.1:908-1603(+); NW_003102065.1:38471-40057(-)	OK
glimmer	Cluster 220	ABGB01000047:563-2149; NW_003102095.1:839-2149(+)	Différent (Différence au début: 563 vs 839)
glimmer	Cluster 221	ABGB01000001:42769-44352; NW_001849444.1:159745-161328(-)	OK
glimmer	Cluster 222	ABGB01000038:5540-7120; NW_003102086.1:5540-7120(+)	OK
glimmer	Cluster 223	ABGB01000041:c(4056-5636); NW_003102089.1:4056-5636(-)	OK
glimmer	Cluster 224	ABGB01000045:1826-3406; NW_003102093.1:1826-3406(+)	OK
glimmer	Cluster 225	ABGB01000017:c(17815-19392); NW_003102065.1:17815-19392(-)	OK
glimmer	Cluster 226	ABGB01000024:20967-22541; NW_003102072.1:20967-22541(+)	OK
glimmer	Cluster 227	ABGB01000044:4523-6097; NW_003102092.1:4523-6097(+)	OK
glimmer	Cluster 228	ABGB01000014:18841-20409; NW_003102062.1:18841-20409(+)	OK
glimmer	Cluster 229	ABGB01000021:c(25980-27542); NW_003102069.1:25980-27542(-)	OK
glimmer	Cluster 230	ABGB01000002:c(29888-31444); NW_001849446.1:47792-49348(-)	OK
glimmer	Cluster 231	ABGB01000020:33879-35435; NW_003102068.1:33822-35435(+)	Différent (Différence au début: 33879 vs 33822)
glimmer	Cluster 232	ABGB01000018:49529-51082; NW_003102066.1:49529-51082(+)	OK
glimmer	Cluster 233	ABGB01000018:57779-59326; NW_003102066.1:57779-59326(+)	OK
glimmer	Cluster 234	ABGB01000047:c(3881-5428); NW_003102095.1:3881-5428(-)	OK
glimmer	Cluster 235	ABGB01000002:18966-20510; NW_001849446.1:36870-38414(+)	OK
glimmer	Cluster 236	ABGB01000023:c(9396-10940); NW_003102071.1:9396-10940(-)	OK
glimmer	Cluster 237	ABGB01000027:c(25071-26603); NW_003102075.1:25071-26603(-)	OK
glimmer	Cluster 238	ABGB01000019:7656-9185; NW_003102067.1:7656-9185(+)	OK
glimmer	Cluster 239	ABGB01000034:19905-21434; NW_003102082.1:19905-21434(+)	OK
glimmer	Cluster 240	ABGB01000015:c(2442-3965); NW_003102063.1:2442-3965(-)	OK
glimmer	Cluster 241	ABGB01000022:c(25655-27178); NW_003102070.1:25655-27178(-)	OK
glimmer	Cluster 242	ABGB01000018:c(60627-62141); NW_003102066.1:60627-62141(-)	OK
glimmer	Cluster 243	ABGB01000002:c(87056-88567); NW_001849446.1:104960-106471(-)	OK
glimmer	Cluster 244	ABGB01000028:c(4378-5889); NW_003102076.1:4378-5889(-)	OK
glimmer	Cluster 245	ABGB01000002:91343-92848; NW_001849446.1:109247-110752(+)	OK
glimmer	Cluster 246	ABGB01000015:68939-70444; NW_003102063.1:68939-70444(+)	OK
glimmer	Cluster 247	ABGB01000017:4795-6300; NW_003102065.1:4795-6300(+)	OK
glimmer	Cluster 248	ABGB01000031:c(3510-5015); NW_003102079.1:3510-5015(-)	OK
glimmer	Cluster 249	ABGB01000033:c(6111-7613); NW_003102081.1:6111-7613(-)	OK
glimmer	Cluster 250	ABGB01000016:48499-49998; NW_003102064.1:49012-49998(+)	Différent (Différence au début: 48499 vs 49012)
glimmer	Cluster 251	ABGB01000002:3789-5285; NW_001849446.1:21693-23189(+)	OK
glimmer	Cluster 252	ABGB01000015:72161-73657; NW_003102063.1:72161-73657(+)	OK
glimmer	Cluster 253	ABGB01000032:c(16010-17503); NW_003102080.1:16010-17503(-)	OK
glimmer	Cluster 254	ABGB01000040:c(4093-5586); NW_003102088.1:4093-5586(-)	OK
glimmer	Cluster 255	ABGB01000178:234-1724; NW_003102226.1:234-1724(+)	OK
glimmer	Cluster 256	ABGB01000016:31907-33394; NW_003102064.1:31907-33394(+)	OK
glimmer	Cluster 257	ABGB01000034:9867-11354; NW_003102082.1:9858-11354(+)	Différent (Différence au début: 9867 vs 9858)
glimmer	Cluster 258	ABGB01000014:52366-53850; NW_003102062.1:52366-53850(+)	OK
glimmer	Cluster 259	ABGB01000015:5807-7291; NW_003102063.1:5807-7291(+)	OK
glimmer	Cluster 260	ABGB01000040:12189-13667; NW_003102088.1:12384-13667(+)	Différent (Différence au début: 12189 vs 12384)
glimmer	Cluster 261	ABGB01000009:c(452-1924); NW_001849446.1:15772-17298(-)	Différent (Différence au début: 1924 vs 17298)
glimmer	Cluster 262	ABGB01000014:11395-12867; NW_003102062.1:11395-12867(+)	OK
glimmer	Cluster 263	ABGB01000019:c(20903-22375); NW_003102067.1:20903-22375(-)	OK
glimmer	Cluster 264	ABGB01000027:c(6936-8405); NW_003102075.1:6936-8405(-)	OK
glimmer	Cluster 265	ABGB01000017:c(72565-74031); NW_003102065.1:72565-74031(-)	OK
glimmer	Cluster 266	ABGB01000023:30431-31897; NW_003102071.1:30431-31897(+)	OK
glimmer	Cluster 267	ABGB01000045:5609-7075; NW_003102093.1:5609-7075(+)	OK
glimmer	Cluster 268	ABGB01000014:26847-28310; NW_003102062.1:26847-28310(+)	OK
glimmer	Cluster 269	ABGB01000020:52368-53831; NW_003102068.1:52368-53831(+)	OK
glimmer	Cluster 270	ABGB01000014:62071-63531; NW_003102062.1:62071-63531(+)	OK
glimmer	Cluster 271	ABGB01000018:c(43756-45216); NW_003102066.1:43756-45216(-)	OK
glimmer	Cluster 272	ABGB01000003:c(73105-74559); NW_001849445.1:116531-117985(-)	OK
glimmer	Cluster 273	ABGB01000016:42724-44178; NW_003102064.1:42724-44178(+)	OK
glimmer	Cluster 274	ABGB01000046:2378-3826; NW_003102094.1:2378-3826(+)	OK
glimmer	Cluster 275	ABGB01000018:3823-5268; NW_003102066.1:3796-5268(+)	Différent (Différence au début: 3823 vs 3796)
glimmer	Cluster 276	ABGB01000044:c(6225-7670); NW_003102092.1:6225-7670(-)	OK
